Read file config.yml
Running executor...
Loaded function exp06_run_audit_1. lib_load_elasped: 284, func_load_elasped: 2
Loaded function exp06_run_audit_18. lib_load_elasped: 276, func_load_elasped: 1
Loaded function exp06_run_audit_14. lib_load_elasped: 193, func_load_elasped: 1
Loaded function exp06_run_audit_4. lib_load_elasped: 201, func_load_elasped: 1
Loaded function exp06_run_audit_21. lib_load_elasped: 256, func_load_elasped: 2
Loaded function exp06_run_audit_23. lib_load_elasped: 263, func_load_elasped: 1
Loaded function exp06_run_audit_10. lib_load_elasped: 290, func_load_elasped: 1
Loaded function exp06_run_audit_39. lib_load_elasped: 273, func_load_elasped: 1
Loaded function exp06_run_audit_32. lib_load_elasped: 374, func_load_elasped: 2
Loaded function exp06_run_audit_7. lib_load_elasped: 249, func_load_elasped: 1
Loaded function exp06_run_audit_38. lib_load_elasped: 274, func_load_elasped: 1
Loaded function exp06_run_audit_33. lib_load_elasped: 314, func_load_elasped: 1
Loaded function exp06_run_audit_29. lib_load_elasped: 360, func_load_elasped: 2
Loaded function exp06_run_audit_15. lib_load_elasped: 271, func_load_elasped: 1
Loaded function exp06_run_audit_28. lib_load_elasped: 286, func_load_elasped: 1
Loaded function exp06_run_audit_17. lib_load_elasped: 341, func_load_elasped: 1
Loaded function exp06_run_audit_35. lib_load_elasped: 227, func_load_elasped: 2
Loaded function exp06_run_audit_25. lib_load_elasped: 309, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 274, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 270, func_load_elasped: 2
Loaded function exp06_run_audit_2. lib_load_elasped: 243, func_load_elasped: 1
Loaded function exp06_run_audit_13. lib_load_elasped: 301, func_load_elasped: 1
Loaded function exp06_run_audit_16. lib_load_elasped: 329, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 280, func_load_elasped: 1
Loaded function exp06_run_audit_24. lib_load_elasped: 273, func_load_elasped: 1
Loaded function exp06_marketdata. lib_load_elasped: 6229, func_load_elasped: 3
Send to executer failed.force_push: msg_id = 3203886, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3203855, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3203892, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3203856, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3203706, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3203848, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3203876, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3203890, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3203862, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3203919, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3203836, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3203707, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3203888, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3203887, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3203894, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3203733, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3203911, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3203845, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205756, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205650, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205692, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205629, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3205621, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3205770, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3205636, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205638, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205772, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3205626, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3205630, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3205645, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205653, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205634, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205649, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3205774, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3205632, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3205693, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3205642, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3205622, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3205654, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3205639, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3205758, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205651, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3205681, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205625, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3205628, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3205648, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205771, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3205683, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205646, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3205633, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205667, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207629, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3207627, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3207826, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207838, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207671, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207856, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207853, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207691, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207787, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207748, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207901, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207647, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207732, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207827, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207672, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207895, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207894, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207852, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207684, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207747, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207857, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207833, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207786, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207730, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207592, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3207829, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207606, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3207728, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207900, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3209117, remain = 71, size = 64
Send to executer failed.force_push: msg_id = 3209124, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3209118, remain = 71, size = 64
Send to executer failed.force_push: msg_id = 3209126, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 3209125, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 3209131, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3209133, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3209132, remain = 73, size = 64
force_push: msg_id = 3209134, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3209136, remain = 73, size = 64
Send to executer failed.Send to executer failed.force_push: msg_id = 3209130, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3209138, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3209139, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3209135, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3209115, remain = 7, size = 64
Send to executer failed.force_push: msg_id = 3209123, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3209144, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 3209149, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 3209164, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3209175, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3209112, remain = 71, size = 64
Send to executer failed.force_push: msg_id = 3209171, remain = 9, size = 64
Send to executer failed.Loaded function exp06_run_audit_26. lib_load_elasped: 409, func_load_elasped: 2
force_push: msg_id = 3213425, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213413, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213404, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213433, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213431, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213438, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3213427, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213403, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3213394, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3213423, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213395, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3213447, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213442, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213449, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213400, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3213435, remain = -54, size = 10
Send to executer failed.Loaded function exp06_run_audit_58. lib_load_elasped: 400, func_load_elasped: 1
